,Time (min),Absorbance,Concentration (mg/l),Amount adsorbed (mg/g),% removal
Time (min),1.0,0.6742039283205777,0.6742072044903155,0.3731327655357246,-0.6729436293297754
Absorbance,0.6742039283205777,1.0,0.9999999990035511,0.6776180094951133,-0.9998593678628105
Concentration (mg/l),0.6742072044903155,0.9999999990035511,1.0,0.6776150126510369,-0.9998593585511001
Amount adsorbed (mg/g),0.3731327655357246,0.6776180094951133,0.6776150126510369,1.0,-0.6779548262847096
% removal,-0.6729436293297754,-0.9998593678628105,-0.9998593585511001,-0.6779548262847096,1.0
